Location,Date,Sentinel-2,X,Y,Longitude,Latitude,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,FDI,label
Caribbean Sea,20161103,A,6165,3659,-86.42389678955078,15.949233055114744,0.021870576,0.024326539,0.020546377,0.015398341,0.010896391000000002,0.012179481,0.013542616,0.011541155,0.015589687,0.014438161,0.012735549,-0.1431795902937456,-0.004641170547466017,1
Vigo,20160920,A,348,168,-8.874833106994629,42.25210189819336,0.042716727,0.016138045,0.015442977,0.009168307,0.066291355,0.06645936,0.050611444000000005,0.013601852,0.04809204,0.02826162,0.019561363,0.19470856571532946,0.014836724,7
Durban,20190424,B,593,703,31.06617927551269,-29.86363410949707,0.053891357,0.06056378,0.072591856,0.047556248,0.02946674,0.033467975,0.03196427,0.038697537,0.036807507,0.019120386,0.016900118000000002,-0.102705185633303,0.03072559491728368,2
Marmara Sea,20210606,B,1079,786,29.03426170349121,40.95536804199219,0.04166359,0.04127575,0.03663843,0.017073022,0.013158199,0.013939793999999998,0.014971195,0.013542375,0.0135299405,0.0045657814,0.00439187,-0.11532259405292047,0.016260441,6
Caribbean Sea,20171009,A,3363,1876,-86.34114074707031,15.911298751831055,0.036566205,0.044547874,0.04324156,0.04189059,0.02544534,0.030544246,0.032412786,0.05920806,0.039221134,0.029424794,0.021264432000000003,0.17129279174350995,0.030647712708249918,2
Vigo,20160920,A,35,514,-8.912819862365723,42.22097396850586,0.041709237,0.033867903,0.028163463,0.017953001,0.016765181,0.015607899,0.016967375,0.01957075,0.01169832,0.010496764,0.007759514,0.04311266749424922,0.01302083,7
Marmara Sea,20210606,B,1032,950,29.028228759765625,40.94070053100586,0.041585673,0.045612175,0.04256821400000002,0.021230439,0.019904481,0.018980226,0.018587843,0.016576061,0.016637111,0.0026297907,0.0031204752,-0.12311052332270908,0.026650976,6
Accra,20181031,B,3859,370,0.10986624658107758,5.670764923095702,0.014796252,0.017947964,0.024509694,0.015888218,0.027221305,0.024019623,0.0371881,0.05472155,0.025893401,0.009037544,0.009389744,0.5499711031482216,0.05732546488872435,4
Gulf of Gera,20210825,B,48,37,26.52457618713379,39.03956604003906,0.0021735115,0.019050631999999998,0.034818258,0.027593508,0.01797201,0.017244736,0.020104185,0.022115182,0.017783625,0.0052922606,0.004771585,-0.11020861744696953,0.02611030074085044,2
Vigo,20160920,A,45,502,-8.911606788635254,42.22205352783203,0.027972115,0.031706482,0.024147063,0.018992921,0.017455423,0.017406024,0.01675467,0.018672373,0.019522827,0.0114540085,0.0088723395,-0.008510434035109359,0.011814542,7
Gulf of Gera,20210611,A,48,36,26.52457427978516,39.03965759277344,0.029670263,0.052282915,0.04957018,0.042320304,0.021836657000000002,0.028054427000000003,0.033678416,0.03529171,0.029146519,0.024123346,0.025882717000000003,-0.09056064438683432,0.014203965374881463,2
Caribbean Sea,20171009,A,3528,1822,-86.3257064819336,15.916132926940918,0.032882552999999995,0.047144763,0.03871891,0.030245388,0.03253182,0.024424879,0.04370328,0.04450233,0.048595533,0.023532642000000003,0.016626474,0.19073414388383064,0.0216586780930355,2
Marmara Sea,20210606,B,1029,853,29.028139114379893,40.949440002441406,0.02386952,0.031733956,0.027039144,0.008521086,0.007269484,0.006938003000000001,0.0065828403,0.006481677,0.0044725123,0.0007586666599999999,0.002479467,-0.13593556066972468,0.010524512,6
Marmara Sea,20210606,B,1175,980,29.045122146606445,40.93769836425781,0.034892473,0.048543453,0.043627407,0.026113724,0.027476834,0.02765127,0.026664983,0.025883477,0.024075652000000003,0.0056300005,0.0042174836,-0.004428065272205631,0.03736457,6
Vigo,20160920,A,52,433,-8.910750389099121,42.22826766967773,0.038639832,0.11252282,0.10552109,0.10883888,0.0629357,0.07153527,0.070527345,0.10029108,0.06669384,0.032594766000000004,0.021886854,-0.040873148926150966,0.09776637,7
Accra,20181031,B,1384,690,0.39745551347732544,5.7422051429748535,0.004039269,0.008948904,0.024121612,0.015488703,0.06759214,0.09445945,0.10703187,0.08513637,0.09578721,0.010079195,0.00995786,0.6921502258189665,0.14062279306960013,4
Marmara Sea,20210606,B,1365,759,29.06829833984375,40.957191467285156,0.060590494,0.07939724,0.079053715,0.060544107,0.06674104,0.06072462400000001,0.06126328,0.056431502,0.05960704400000001,0.011202648,0.0068596588,-0.035157799434923205,0.083708696,6
Marmara Sea,20210606,B,1385,906,29.070261001586914,40.94391632080078,0.09990402,0.13179924,0.14448953,0.13172379,0.13600725,0.135211,0.13621306,0.13185616,0.13076474,0.020700172,0.011133244,0.0005022005657106801,0.20013383,6
Vigo,20160920,A,10,543,-8.915852546691895,42.21836471557617,0.041821867,0.03601658,0.033926185,0.025983818,0.0325037,0.030162787000000007,0.033425808,0.02621322,0.02690725,0.018460408,0.011539475,0.004394923711954693,0.01678945,7
Okinawa,20211026,A,2967,498,127.88643646240234,26.78561210632324,0.0341002,0.039201014,0.03231081,0.03122963,0.02963407,0.030058483,0.027656626,0.032887094,0.024760157,0.018263128,0.014226359,0.02585072811892257,0.023732401,5
Vigo,20160920,A,377,115,-8.871308326721191,42.25687026977539,0.04154895,0.04588639,0.048576805999999986,0.03088805,0.021744618,0.021267485,0.022643281,0.027247688,0.016902806,0.011818824,0.0077838586,-0.06261831577677747,0.022725169,7
Okinawa,20211026,A,2612,504,127.85073852539062,26.784786224365234,0.0346861,0.043414667,0.03984108,0.036022123,0.031967618,0.029047428,0.03118873,0.037693653,0.026058134,0.01594959,0.011842585,0.02267533614514218,0.03185828,5
Accra,20181031,B,1632,481,0.4199272394180298,5.760944843292236,0.008142795,0.012252648,0.025219217,0.017222894,0.06406768,0.08625672,0.107303284,0.08501435,0.08264495,0.012134008,0.012173989,0.6630798459316841,0.13047558658980324,4
Accra,20181031,B,3762,490,0.1010615974664688,5.659972190856934,0.012486854,0.016154507,0.023277856,0.017849423,0.052611172000000005,0.06765729,0.07083393,0.073519394,0.06779867,0.009812768,0.010518978,0.6092885168908337,0.10865330027670823,4
Okinawa,20211026,A,2541,850,127.84391784667969,26.75349426269531,0.039695147,0.040225327000000005,0.02689174,0.029295176000000006,0.047471195,0.052447796,0.049799882,0.030868256,0.039762843,0.026703484,0.015501631,0.026146779658447642,0.024044665,5
Marmara Sea,20210606,B,1239,815,29.053180694580078,40.95241928100586,0.03306739,0.031952087000000004,0.027517729,0.010107976,0.008362571999999999,0.008487969,0.008153256,0.00742703,0.006753315,0.0015679601,0.0033281872,-0.15289107970650248,0.011236093,6
Okinawa,20211026,A,2922,756,127.88214111328124,26.762287139892567,0.03307808,0.03295145,0.026491579,0.02741939,0.023875888,0.027705375,0.02516866,0.026054058,0.022342838,0.015011655,0.012510025,-0.025532896251612584,0.02084456,5
